Date,Price,Open,High,Low,Change %
01/03/2000,1109.91,1109.0,1112.77,1105.0,-0.05
01/04/2000,1087.01,1110.0,1114.64,1086.0,-2.06
01/05/2000,1087.78,1086.0,1101.74,1086.0,0.07
01/06/2000,1088.3,1087.0,1100.39,1081.0,0.05
01/07/2000,1079.58,1088.0,1098.63,1073.0,-0.8
01/10/2000,1078.11,1081.0,1086.39,1075.0,-0.14
01/11/2000,1080.27,1079.0,1087.1,1073.0,0.2
01/12/2000,1079.99,1080.0,1087.75,1075.0,-0.03
01/13/2000,1070.08,1080.0,1083.74,1068.0,-0.92
01/14/2000,1062.8,1070.0,1070.72,1058.0,-0.68
01/17/2000,1068.77,1062.0,1070.88,1057.0,0.56
01/18/2000,1065.85,1067.0,1075.88,1064.0,-0.27
01/19/2000,1076.14,1065.0,1077.78,1064.0,0.97
01/20/2000,1068.39,1075.0,1079.63,1064.0,-0.72
01/21/2000,1076.5800000000002,1067.0,1079.99,1066.0,0.77
01/24/2000,1063.98,1071.0,1077.39,1061.0,-1.17
01/25/2000,1063.01,1064.0,1068.5,1062.0,-0.09
01/26/2000,1066.65,1063.0,1068.44,1060.0,0.34
01/27/2000,1069.75,1067.0,1074.15,1062.0,0.29
01/28/2000,1046.02,1070.0,1073.86,1044.0,-2.22
01/31/2000,1046.09,1047.0,1055.86,1044.0,0.01
02/01/2000,1044.94,1045.0,1051.61,1042.0,-0.11
02/02/2000,1045.21,1044.0,1048.95,1038.0,0.03
02/03/2000,1050.1899999999998,1045.0,1054.86,1037.0,0.48
02/04/2000,1053.64,1051.0,1053.86,1044.0,0.33
02/07/2000,1038.97,1052.0,1054.51,1037.0,-1.39
02/08/2000,1031.23,1039.0,1039.37,1029.0,-0.74
02/09/2000,1033.15,1031.0,1034.7,1026.0,0.19
02/10/2000,1025.96,1032.0,1034.6,1024.0,-0.7
02/11/2000,1024.8200000000002,1025.0,1028.47,1015.0,-0.11
02/14/2000,1035.35,1022.0,1042.65,1022.0,1.03
02/15/2000,1032.29,1034.0,1039.06,1029.0,-0.3
02/16/2000,1028.79,1031.0,1036.93,1026.0,-0.34
02/17/2000,1019.34,1027.0,1030.37,1019.0,-0.92
02/18/2000,1017.48,1020.0,1023.37,1014.0,-0.18
02/21/2000,1017.57,1017.0,1026.77,1015.0,0.01
02/22/2000,1023.36,1017.0,1025.82,1014.0,0.57
02/23/2000,1020.86,1023.0,1030.82,1019.0,-0.24
02/24/2000,1027.31,1021.0,1034.82,1017.0,0.63
02/25/2000,1030.0,1027.0,1033.83,1020.0,0.26
02/28/2000,1036.12,1031.0,1042.6,1029.0,0.59
02/29/2000,1026.13,1035.0,1037.56,1025.0,-0.96
03/01/2000,1052.78,1026.0,1058.61,1024.0,2.6
03/02/2000,1038.92,1051.0,1056.18,1036.0,-1.32
03/03/2000,1039.35,1038.0,1044.85,1036.0,0.04
03/06/2000,1042.07,1036.0,1048.85,1035.0,0.26
03/07/2000,1054.19,1040.0,1057.49,1033.0,1.16
03/08/2000,1043.69,1053.0,1055.24,1042.0,-1.0
03/09/2000,1052.51,1043.0,1057.96,1043.0,0.85
03/10/2000,1053.45,1052.0,1055.87,1048.0,0.09
03/13/2000,1060.73,1052.0,1069.72,1049.0,0.69
03/14/2000,1062.77,1061.0,1069.35,1057.0,0.19
03/15/2000,1058.49,1062.0,1066.29,1052.0,-0.4
03/16/2000,1058.84,1057.0,1062.88,1055.0,0.03
03/17/2000,1046.95,1059.0,1060.19,1046.0,-1.12
03/20/2000,1050.54,1045.0,1052.38,1043.0,0.34
03/21/2000,1044.7800000000002,1051.0,1052.61,1041.0,-0.55
03/22/2000,1039.37,1045.0,1047.62,1038.0,-0.52
03/23/2000,1033.67,1039.0,1040.62,1029.0,-0.55
03/24/2000,1037.14,1034.0,1038.86,1029.0,0.34
03/27/2000,1041.93,1037.0,1042.44,1036.0,0.46
03/28/2000,1051.28,1041.0,1052.34,1041.0,0.9
03/29/2000,1049.13,1050.0,1056.54,1044.0,-0.2
03/30/2000,1050.62,1049.0,1056.64,1046.0,0.14
03/31/2000,1075.15,1050.0,1083.77,1043.0,2.33
04/03/2000,1060.98,1069.0,1074.53,1053.0,-1.32
04/04/2000,1058.31,1060.0,1068.63,1052.0,-0.25
04/05/2000,1062.77,1057.0,1064.63,1054.0,0.42
04/06/2000,1061.0,1062.0,1064.88,1057.0,-0.17
